id,name,birth_date,death_date,term,source,image,start_date,end_date,area,faction
10740,Nadine MORANO,1963-11-06,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10740,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10740.jpg,2002-06-16,2007-06-25,Meurthe-et-Moselle,Union pour la majorité présidentielle
10740,Nadine MORANO,1963-11-06,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10740,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10740.jpg,2007-06-17,2012-06-16,Meurthe-et-Moselle,Union pour un mouvement populaire
13861,Véronique BESSE,1963-08-11,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=13861,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/13861.jpg,2005-01-24,2007-06-25,Vendée,Non inscrit
13861,Véronique BESSE,1963-08-11,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=13861,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/13861.jpg,2007-06-10,2012-06-19,Vendée,Députés n'appartenant à aucun groupe
13861,Véronique BESSE,1963-08-11,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=13861,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/13861.jpg,2012-06-20,"",Vendée,Députés non inscrits
10676,Philippe FOLLIOT,1963-07-14,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10676,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10676.jpg,2002-06-16,2007-06-25,Tarn,Apparenté Union pour la démocratie française
10676,Philippe FOLLIOT,1963-07-14,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10676,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10676.jpg,2007-06-17,2012-06-19,Tarn,Apparenté Nouveau Centre
10676,Philippe FOLLIOT,1963-07-14,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10676,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10676.jpg,2012-06-20,"",Tarn,Union des démocrates et indépendants
10679,Jean-Jacques GAULTIER,1963-07-13,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10679,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10679.jpg,2002-06-16,2007-06-25,Vosges,Union pour la majorité présidentielle
10679,Jean-Jacques GAULTIER,1963-07-13,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10679,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10679.jpg,2007-06-17,2012-06-19,Vosges,Union pour un mouvement populaire
10659,Stéphane DEMILLY,1963-06-26,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10659,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10659.jpg,2002-06-16,2007-06-25,Somme,Union pour la démocratie française
