id,name,sort_name,gender,email,area,group,group_id,term
815,Sergio Bobadilla Muñoz,Bobadilla,male,sbobadilla,45,Unión Demócrata Independiente,UDI,5
816,Jorge Burgos Varela,Burgos,male,jburgos,21,Partido Demócrata Cristiano,DC,5
817,Juan Bustos Ramírez,Bustos,male,jbustos,12,Partido Socialista,PS,5
818,Alberto Cardemil Herrera,Cardemil,male,acardemil,22,Independientes,IND,5
819,Guillermo Ceroni Fuentes,Ceroni,male,gceroni,40,Partido Por la Democracia,PPD,5
820,Francisco Chahuán Chahuán,Chahuán,male,fchahuan,14,Renovación Nacional,RN,5
821,Sergio Correa De la Cerda,Correa,male,scorrea,36,Unión Demócrata Independiente,UDI,5
822,María Angélica Cristi Marfil,Cristi,female,macristi,24,Unión Demócrata Independiente,UDI,5
823,Marcela Cubillos Sigall,Cubillos,female,mcubillos,21,Unión Demócrata Independiente,UDI,5
824,Alfonso De Urresti Longton,De Urresti,male,adeurresti,53,Partido Socialista,PS,5
825,Roberto Delmastro Naso,Delmastro,male,rdelmast,53,Renovación Nacional,RN,5
826,Eduardo Díaz Del Río,Díaz,male,ediaz,51,Partido Regionalista Independiente,PRI,5
827,Marcelo Díaz Díaz,Díaz,male,mdiaz,7,Partido Socialista,PS,5
828,Julio Dittborn Cordua,Dittborn,male,jdittbor,23,Unión Demócrata Independiente,UDI,5
829,Gonzalo Duarte Leiva,Duarte,male,gduarte,26,Partido Demócrata Cristiano,DC,5
830,Andrés Egaña Respaldiza,Egaña,male,aegana,44,Unión Demócrata Independiente,UDI,5
831,Edmundo Eluchans Urenda,Eluchans,male,eeluchans,15,Unión Demócrata Independiente,UDI,5
832,Francisco Encina Moriamez,Encina,male,fencina,8,Partido Socialista,PS,5
833,Marco Enríquez-Ominami Gumucio,Enríquez-Ominami,male,menriquez-ominami,10,Independientes,IND,5
834,Maximiano Errázuriz Eguiguren,Errázuriz,male,merrazu,29,Independientes,IND,5
835,Alvaro Escobar Rufatt,Escobar,male,aescobar,20,Independientes,IND,5
836,Marcos Espinosa Monardes,Espinosa,male,mespinosa,3,Partido Radical Social Demócrata,PRSD,5
837,Fidel Espinoza Sandoval,Espinoza,male,fespinoza,56,Partido Socialista,PS,5
838,Enrique Estay Peñaloza,Estay,male,eestay,49,Unión Demócrata Independiente,UDI,5
839,Ramón Farías Ponce,Farías,male,rfarias,30,Partido Por la Democracia,PPD,5
840,Marcelo Forni Lobos,Forni,male,mforni,11,Unión Demócrata Independiente,UDI,5
841,Renán Fuentealba Vildósola,Fuentealba,male,rfuentealba,9,Partido Demócrata Cristiano,DC,5
842,Pablo Galilea Carrillo,Galilea,male,pgalilea,59,Renovación Nacional,RN,5
843,René Manuel García García,García,male,rmgarcia,52,Renovación Nacional,RN,5
844,Alejandro García-Huidobro Sanfuentes,García-Huidobro,male,agarcia,32,Unión Demócrata Independiente,UDI,5
845,Guido Girardi Briere,Girardi,male,ggirardibriere,18,Partido Por la Democracia,PPD,5
846,Joaquín Godoy Ibáñez,Godoy,male,jgodoy,13,Renovación Nacional,RN,5
847,Carolina Goic Boroevic,Goic,female,cgoic,60,Partido Demócrata Cristiano,DC,5
